Unnamed: 0,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
116,ENSMUSG00000105504.5,4562.841830924483,6.49787966078301,0.19409945191760497,3.780748765863157e-247,5.806708621777414e-245,Gbp5,229898.0
117,ENSMUSG00000016528.11,7401.912018285691,1.3131361521384004,0.03916110933384036,5.83446969461111e-247,8.884351459759961e-245,Mapkapk2,17164.0
118,ENSMUSG00000030717.10,624.1484717973791,4.254660046874695,0.127425216601414,7.922530721847448e-246,1.1961678588172385e-243,Nupr1,56312.0
119,ENSMUSG00000009185.3,873.6481935459946,7.10111343896922,0.21246559954080038,1.5979488018079328e-245,2.3923576347067337e-243,Ccl8,20307.0
120,ENSMUSG00000004730.16,67050.81063338624,2.3506156263995157,0.07036690904533618,1.7307235984145486e-245,2.5695476357794666e-243,Adgre1,13733.0
121,ENSMUSG00000000149.11,4789.503397118469,-1.4799277237851385,0.044324514565043424,4.6244233606602337e-244,6.808985668886176e-242,Gna12,14673.0
122,ENSMUSG00000053113.4,1515.7611993073974,6.421929564922933,0.19324605508473003,7.353814785855385e-244,1.0738980674163898e-241,Socs3,12702.0
123,ENSMUSG00000026822.15,1549.1551531642208,3.5447267663412054,0.10696497509859085,8.35858991378259e-242,1.2107043732028507e-239,Lcn2,16819.0
124,ENSMUSG00000015340.11,43455.475625390085,2.50544234871473,0.07552726093172651,6.616113280573927e-241,9.505860823121378e-239,Cybb,13058.0
125,ENSMUSG00000069874.8,2376.3832230667313,3.3332920275904443,0.10096925600128082,3.648177607349545e-240,5.199674580203159e-238,Irgm2,54396.0
126,ENSMUSG00000030474.10,722.9183170027709,6.425025585070218,0.1947332809906803,7.94065515246997e-240,1.1227834301301984e-237,Siglece,83382.0
127,ENSMUSG00000011008.14,2655.3865640276003,2.282980110606351,0.06938457262877246,2.8605384050101047e-238,4.0128623798157495e-236,Mcoln2,68279.0
128,ENSMUSG00000037731.6,8908.786808813084,2.603541963606298,0.07923551547653206,3.2866853686752196e-238,4.574655197524821e-236,Themis2,230787.0
129,ENSMUSG00000025473.17,38299.11316370942,-1.6404997569118858,0.049884567452470475,8.460252357728529e-238,1.1684329922890811e-235,Adam8,11501.0
130,ENSMUSG00000034116.18,6289.210424293863,1.3771649561575032,0.041897574009305855,2.0513978398399642e-237,2.811361839583754e-235,Vav1,22324.0
131,ENSMUSG00000031652.12,2882.357323625295,1.789289643502299,0.05455703288723803,1.6484133009691422e-236,2.2418420893180334e-234,N4bp1,80750.0
132,ENSMUSG00000022534.15,495.930671134682,4.933997689189204,0.15087992239192066,4.6328775947171215e-236,6.252980850566684e-234,Mefv,54483.0
133,ENSMUSG00000028238.7,20167.641735610603,-2.844968152091242,0.08706681167156265,3.020827185532605e-235,4.046545649432247e-233,Atp6v0d2,242341.0
134,ENSMUSG00000004707.15,12268.785162144724,1.965750020591951,0.06016763888036043,8.005365310303661e-235,1.064355137077388e-232,Ly9,17085.0
135,ENSMUSG00000068245.15,2285.9574504859247,5.5161126448243625,0.16914883664534966,9.235242632979182e-235,1.2187783907344971e-232,Phf11d,219132.0
136,ENSMUSG00000022014.16,3166.6821015202304,2.9527968738259247,0.0906424277018327,5.117492615665636e-234,6.703915326521982e-232,Epsti1,108670.0
